Editable,PercentageN,PoundsPerGallons,Usage,Nutrients,Description,FormulationType_Id,FormulationType_Name,LbsPerGallon,OwnerRanchId,IsPrivate,Id,Name
False,0.0,,0,,,2,Wet,9.4,,False,453,0-0-12
False,0.0,,0,,,2,Wet,11.9,,False,24,0-0-24
False,0.0,,0,,,2,Wet,12.0,,False,15,0-0-25
False,0.0,,0,,,1,Dry,0.0,,False,44,0-0-50
False,0.0,,0,,,2,Wet,6.7,,False,157,00-52-00
False,0.0,,0,,,2,Wet,11.3,,False,49,0-14-14
False,0.0,,0,,,1,Dry,0.0,,False,142,0-52-34
False,6.0,,0,,,1,Dry,0.0,,False,322,06-25-10
False,1.3,,0,,,2,Wet,8.6,,False,43,1.3-3.5-.05
False,1.4,,0,,,2,Wet,8.6,,False,26,1.4-3.89-0.06
False,10.8,,0,,,2,Wet,11.5,,False,181,10.8-18-0
False,10.0,,0,,,1,Dry,0.0,,False,164,10-0-23
False,10.0,,0,,,2,Wet,10.0,,False,188,10-10-0
False,10.0,,0,,,1,Dry,0.0,,False,128,10-10-34
False,10.0,,0,,,2,Wet,10.8,,False,301,10-12-0
False,10.0,,0,,,2,Wet,12.6,,False,50,10-20-10
False,10.0,,0,,,2,Wet,11.65,,False,136,10-34-0
False,11.0,,0,,,1,Dry,0.0,,False,124,11-44-13
False,11.0,,0,,,1,Dry,0.0,,False,129,11-52-0
False,12.0,,0,,,1,Dry,0.0,,False,35,12-12-12
False,0.0,,0,,,2,Wet,12.0,,False,151,12-26-26
False,13.0,,0,,,1,Dry,0.0,,False,96,13-13-13
False,13.0,,0,,,1,Dry,0.0,,False,95,13-7.5-0.46
False,14.0,,0,,,2,Wet,10.2,,False,195,14-0-0-5
False,1.0,,0,,,2,Wet,10.0,,False,100,1-4-6
False,15.0,,0,,,2,Wet,12.6,,False,208,15-0-0-16S
False,15.0,,0,,,1,Dry,0.0,,False,132,15-10-30
False,15.0,,0,,,1,Dry,0.0,,False,135,15-11-31
False,15.0,,0,,,1,Dry,0.0,,False,154,15-5-0
False,15.0,,0,,,1,Dry,0.0,,False,189,15-6-27 Ag Solution
False,15.0,,0,,,2,Wet,10.4,,False,22,15-8-4
False,15.0,,0,,,1,Dry,0.0,,False,243,15-8-4 Dry
False,17.0,,0,,,2,Wet,12.7,,False,41,17-0-0-8
False,18.0,,0,,,1,Dry,0.0,,False,1,18-0-0
False,18.0,,0,,,2,Wet,10.4,,False,42,18-0-0 plus
False,18.0,,0,,,2,Wet,10.7,,False,148,18-0-0-5
False,18.0,,0,,,2,Wet,10.7,,False,140,18-0-0-6.5
False,18.0,,0,,,1,Dry,0.0,,False,12,18-18-18
False,18.0,,0,,,1,Dry,0.0,,False,97,18-6-12
False,18.0,,0,,,1,Dry,0.0,,False,127,18-8-13
False,0.0,,0,,,1,Dry,0.0,,False,147,2.5-12-30
False,20.0,,0,,,2,Wet,10.5,,False,314,20-0-0
False,20.0,,0,,,2,Wet,10.5,,False,14,20-0-0-5
False,20.0,,0,,,2,Wet,10.6,,False,36,20-10-0
False,20.0,,0,,,1,Dry,0.0,,False,114,20-10-20
False,20.0,,0,,,1,Dry,0.0,,False,191,20-19-20 Ag Solution
False,20.0,,0,,,1,Dry,0.0,,False,82,20-20-20
False,21.0,,0,,,1,Dry,0.0,,False,73,21-0-0-4
False,21.0,,0,,,1,Dry,0.0,,False,192,21-7-14
False,2.0,,0,,,2,Wet,11.6,,False,237,2-17-17
False,22.0,,0,,,2,Wet,11.1,,False,72,22-00-13
False,2.0,,0,,,2,Wet,9.6,,False,153,2-2-2-0
False,2.0,,0,,,2,Wet,9.0,,False,240,2-5-0 Organic
False,27.0,,0,,,2,Wet,10.9,,False,23,27-0-0-4.8
False,28.0,,0,,,2,Wet,10.76,,False,40,28-0-0 Plus
False,28.0,,0,,,2,Wet,11.05,,False,19,28-0-0-5
False,3.5,,0,,,2,Wet,11.63,,False,20,3.5-12-14
False,3.0,,0,,,2,Wet,9.5,,False,241,3-0-1 Organic
False,0.3,,0,,,2,Wet,10.0,,False,330,3-1-5
False,3.0,,0,,,2,Wet,11.0,,False,235,3-18-18
False,3.0,,0,,,2,Wet,10.4,,False,17,3-5-10
False,3.0,,0,,,2,Wet,11.0,,False,99,3-9-9
False,10.0,,0,,,2,Wet,10.3,,False,137,4-10-10
False,4.0,,0,,,2,Wet,10.0,,False,98,4-11-8
False,4.0,,0,,,2,Wet,11.2,,False,209,4-12-0
False,4.0,,0,,,2,Wet,9.9,,False,206,4-16-0
False,4.0,,0,,,1,Dry,0.0,,False,210,4-2-41
False,4.0,,0,,,2,Wet,10.0,,False,83,4-4-10
False,4.0,,0,,,1,Dry,0.0,,False,239,4-4-2 Organic
False,46.0,,0,,,1,Dry,0.0,,False,155,46-0-0
False,5.0,,0,,,1,Dry,0.0,,False,134,5-0-0
False,5.0,,0,,,1,Dry,0.0,,False,165,5-0-20
False,5.0,,0,,,2,Wet,11.19,,False,268,5-0-6
False,5.0,,0,,,1,Dry,0.0,,False,156,5-10-27
False,5.0,,0,,,1,Dry,0.0,,False,131,5-10-40
False,5.0,,0,,,2,Wet,9.66,,False,328,5-15-0
False,5.0,,0,,,2,Wet,12.71,,False,47,5-17-17
False,5.0,,0,,,2,Wet,10.25,,False,48,5-20-0
False,5.0,,0,,,2,Wet,10.7,,False,16,5-20-3-1
False,5.0,,0,,,1,Dry,0.0,,False,194,5-25-25
False,6.0,,0,,,2,Wet,8.6,,False,31,6-16-0-1.94S
False,6.0,,0,,,1,Dry,0.0,,False,30,6-20-20
False,6.0,,0,,,1,Dry,0.0,,False,270,6-24-24
False,6.0,,0,,,1,Dry,0.0,,False,133,6-31-31
False,7.0,,0,,,2,Wet,10.25,,False,45,7-21-1 Humiplus
False,7.0,,0,,,2,Wet,10.5,,False,37,7-7-0-7.46S
False,7.0,,0,,,2,Wet,10.0,,False,190,7-7-7
False,0.0,,0,,,2,Wet,9.8,,False,169,8-0-6
False,0.0,,0,,,2,Wet,9.7,,False,146,8-0-9
False,8.0,,0,,,1,Dry,0.0,,False,225,8-1-1
False,8.0,,0,,,2,Wet,10.6,,False,138,8-24-6
False,6.0,,0,,,1,Dry,0.0,,False,253,9% Calcium Chelate
False,9.0,,0,,,2,Wet,12.2,,False,211,9-0-0
False,9.0,,0,,,1,Dry,0.0,,False,212,9-15-30
False,9.0,,0,,,2,Wet,9.98,,False,39,9-9-0
False,9.0,,0,,,2,Wet,10.0,,False,21,9-9-3-1
False,0.1,,0,,,2,Wet,9.76,,False,187,Acadian 0.1-0.0-5.0
False,20.0,,0,,,1,Dry,0.0,,False,113,Ag&Landscape (20-20-20)
False,39.0,,0,,,1,Dry,0.0,,False,221,Agroform
False,2.5,,0,,,2,Wet,9.6,,False,74,Agrothrive LF (2.5-2.5-1.5)
False,2.5,,0,,,2,Wet,10.0,,False,182,Agrothrive LFK
False,6.0,,0,,,1,Dry,0.0,,False,200,Ammonium Polyphosphate (6-23-6)
False,21.0,,0,,,1,Dry,0.0,,False,10,Ammonium Sulfate
False,30.0,,0,,,1,Dry,0.0,,False,214,Ammonium Sulfate & Urea
False,20.0,,0,,,2,Wet,10.5,,False,8,AN-20
False,20.0,,0,,,2,Wet,7.6,,False,9,Aqua-Ammonia
False,3.0,,0,,,2,Wet,9.6,,False,231,Biogro 3-6-5
