Ranch_External_GUID,CommodityId,0_Id,0_Name,0_UptakeFactor,0_UptakeConstant,0_IsNDependent,0_IsSelected,0_PlantingsCount,0_Ranch_External_GUID,0_CommodityId
6082899a-612c-4426-b5ce-31b55c740239,17.0,,,,,,,,,
6082899a-612c-4426-b5ce-31b55c740239,18.0,,,,,,,,,
6082899a-612c-4426-b5ce-31b55c740239,36.0,,,,,,,,,
,,6358.0,Pak Choi (American Samoa) Untested,0.0,0.0,True,True,2.0,6082899a-612c-4426-b5ce-31b55c740239,31.0
6082899a-612c-4426-b5ce-31b55c740239,21.0,,,,,,,,,
6082899a-612c-4426-b5ce-31b55c740239,2.0,,,,,,,,,
6082899a-612c-4426-b5ce-31b55c740239,19.0,,,,,,,,,
6082899a-612c-4426-b5ce-31b55c740239,7.0,,,,,,,,,
6082899a-612c-4426-b5ce-31b55c740239,12.0,,,,,,,,,
6082899a-612c-4426-b5ce-31b55c740239,38.0,,,,,,,,,
6082899a-612c-4426-b5ce-31b55c740239,5.0,,,,,,,,,
6082899a-612c-4426-b5ce-31b55c740239,4.0,,,,,,,,,
6082899a-612c-4426-b5ce-31b55c740239,37.0,,,,,,,,,
6082899a-612c-4426-b5ce-31b55c740239,20.0,,,,,,,,,
6082899a-612c-4426-b5ce-31b55c740239,8.0,,,,,,,,,
6082899a-612c-4426-b5ce-31b55c740239,27.0,,,,,,,,,
6082899a-612c-4426-b5ce-31b55c740239,28.0,,,,,,,,,
6082899a-612c-4426-b5ce-31b55c740239,25.0,,,,,,,,,
6082899a-612c-4426-b5ce-31b55c740239,40.0,,,,,,,,,
6082899a-612c-4426-b5ce-31b55c740239,39.0,,,,,,,,,
6082899a-612c-4426-b5ce-31b55c740239,1.0,,,,,,,,,
6082899a-612c-4426-b5ce-31b55c740239,22.0,,,,,,,,,
6082899a-612c-4426-b5ce-31b55c740239,9.0,,,,,,,,,
6082899a-612c-4426-b5ce-31b55c740239,24.0,,,,,,,,,
6082899a-612c-4426-b5ce-31b55c740239,35.0,,,,,,,,,
6082899a-612c-4426-b5ce-31b55c740239,10.0,,,,,,,,,
6082899a-612c-4426-b5ce-31b55c740239,32.0,,,,,,,,,
6082899a-612c-4426-b5ce-31b55c740239,34.0,,,,,,,,,
6082899a-612c-4426-b5ce-31b55c740239,3.0,,,,,,,,,
6082899a-612c-4426-b5ce-31b55c740239,23.0,,,,,,,,,
6082899a-612c-4426-b5ce-31b55c740239,6.0,,,,,,,,,
6082899a-612c-4426-b5ce-31b55c740239,11.0,,,,,,,,,
6082899a-612c-4426-b5ce-31b55c740239,33.0,,,,,,,,,
6082899a-612c-4426-b5ce-31b55c740239,26.0,,,,,,,,,
