Ranch_External_GUID,CommodityId,0_Id,0_Name,0_UptakeFactor,0_UptakeConstant,0_IsNDependent,0_IsSelected,0_PlantingsCount,0_Ranch_External_GUID,0_CommodityId,1_Id,1_Name,1_UptakeFactor,1_UptakeConstant,1_IsNDependent,1_IsSelected,1_PlantingsCount,1_Ranch_External_GUID,1_CommodityId,2_Id,2_Name,2_UptakeFactor,2_UptakeConstant,2_IsNDependent,2_IsSelected,2_PlantingsCount,2_Ranch_External_GUID,2_CommodityId,3_Id,3_Name,3_UptakeFactor,3_UptakeConstant,3_IsNDependent,3_IsSelected,3_PlantingsCount,3_Ranch_External_GUID,3_CommodityId,4_Id,4_Name,4_UptakeFactor,4_UptakeConstant,4_IsNDependent,4_IsSelected,4_PlantingsCount,4_Ranch_External_GUID,4_CommodityId,5_Id,5_Name,5_UptakeFactor,5_UptakeConstant,5_IsNDependent,5_IsSelected,5_PlantingsCount,5_Ranch_External_GUID,5_CommodityId
3bbf23cc-8c3b-4bbd-8442-cabcebe7713b,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3bbf23cc-8c3b-4bbd-8442-cabcebe7713b,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3bbf23cc-8c3b-4bbd-8442-cabcebe7713b,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3bbf23cc-8c3b-4bbd-8442-cabcebe7713b,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3bbf23cc-8c3b-4bbd-8442-cabcebe7713b,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3bbf23cc-8c3b-4bbd-8442-cabcebe7713b,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3bbf23cc-8c3b-4bbd-8442-cabcebe7713b,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3bbf23cc-8c3b-4bbd-8442-cabcebe7713b,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3bbf23cc-8c3b-4bbd-8442-cabcebe7713b,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3bbf23cc-8c3b-4bbd-8442-cabcebe7713b,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3bbf23cc-8c3b-4bbd-8442-cabcebe7713b,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3bbf23cc-8c3b-4bbd-8442-cabcebe7713b,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3bbf23cc-8c3b-4bbd-8442-cabcebe7713b,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
