Ranch_External_GUID,CommodityId,0_Id,0_Name,0_UptakeFactor,0_UptakeConstant,0_IsNDependent,0_IsSelected,0_PlantingsCount,0_Ranch_External_GUID,0_CommodityId,1_Id,1_Name,1_UptakeFactor,1_UptakeConstant,1_IsNDependent,1_IsSelected,1_PlantingsCount,1_Ranch_External_GUID,1_CommodityId
dac8275a-edc6-4d82-adc3-f0e398537308,17.0,,,,,,,,,,,,,,,,,,
dac8275a-edc6-4d82-adc3-f0e398537308,18.0,,,,,,,,,,,,,,,,,,
dac8275a-edc6-4d82-adc3-f0e398537308,36.0,,,,,,,,,,,,,,,,,,
dac8275a-edc6-4d82-adc3-f0e398537308,31.0,,,,,,,,,,,,,,,,,,
,,6361.0,Arugula baby green (Hawaii/Untested),0.0,0.0,True,True,2.0,dac8275a-edc6-4d82-adc3-f0e398537308,21.0,6346.0,Red Russian Kale baby green (Hawaii/Untested),0.0,0.0,True,True,2.0,dac8275a-edc6-4d82-adc3-f0e398537308,21.0
dac8275a-edc6-4d82-adc3-f0e398537308,2.0,,,,,,,,,,,,,,,,,,
dac8275a-edc6-4d82-adc3-f0e398537308,19.0,,,,,,,,,,,,,,,,,,
dac8275a-edc6-4d82-adc3-f0e398537308,7.0,,,,,,,,,,,,,,,,,,
dac8275a-edc6-4d82-adc3-f0e398537308,12.0,,,,,,,,,,,,,,,,,,
dac8275a-edc6-4d82-adc3-f0e398537308,38.0,,,,,,,,,,,,,,,,,,
dac8275a-edc6-4d82-adc3-f0e398537308,5.0,,,,,,,,,,,,,,,,,,
dac8275a-edc6-4d82-adc3-f0e398537308,4.0,,,,,,,,,,,,,,,,,,
dac8275a-edc6-4d82-adc3-f0e398537308,37.0,,,,,,,,,,,,,,,,,,
dac8275a-edc6-4d82-adc3-f0e398537308,20.0,,,,,,,,,,,,,,,,,,
dac8275a-edc6-4d82-adc3-f0e398537308,8.0,,,,,,,,,,,,,,,,,,
dac8275a-edc6-4d82-adc3-f0e398537308,27.0,,,,,,,,,,,,,,,,,,
dac8275a-edc6-4d82-adc3-f0e398537308,28.0,,,,,,,,,,,,,,,,,,
dac8275a-edc6-4d82-adc3-f0e398537308,25.0,,,,,,,,,,,,,,,,,,
dac8275a-edc6-4d82-adc3-f0e398537308,40.0,,,,,,,,,,,,,,,,,,
dac8275a-edc6-4d82-adc3-f0e398537308,39.0,,,,,,,,,,,,,,,,,,
,,23.0,"Lettuce - Iceberg 3 row, 42-inch bed",0.0,0.0,True,True,0.0,dac8275a-edc6-4d82-adc3-f0e398537308,1.0,3716.0,Lettuce-Baby (green) 80-inch bed,0.0,0.0,True,True,0.0,dac8275a-edc6-4d82-adc3-f0e398537308,1.0
dac8275a-edc6-4d82-adc3-f0e398537308,22.0,,,,,,,,,,,,,,,,,,
dac8275a-edc6-4d82-adc3-f0e398537308,9.0,,,,,,,,,,,,,,,,,,
dac8275a-edc6-4d82-adc3-f0e398537308,24.0,,,,,,,,,,,,,,,,,,
dac8275a-edc6-4d82-adc3-f0e398537308,35.0,,,,,,,,,,,,,,,,,,
dac8275a-edc6-4d82-adc3-f0e398537308,10.0,,,,,,,,,,,,,,,,,,
dac8275a-edc6-4d82-adc3-f0e398537308,32.0,,,,,,,,,,,,,,,,,,
dac8275a-edc6-4d82-adc3-f0e398537308,34.0,,,,,,,,,,,,,,,,,,
dac8275a-edc6-4d82-adc3-f0e398537308,3.0,,,,,,,,,,,,,,,,,,
dac8275a-edc6-4d82-adc3-f0e398537308,23.0,,,,,,,,,,,,,,,,,,
dac8275a-edc6-4d82-adc3-f0e398537308,6.0,,,,,,,,,,,,,,,,,,
dac8275a-edc6-4d82-adc3-f0e398537308,11.0,,,,,,,,,,,,,,,,,,
dac8275a-edc6-4d82-adc3-f0e398537308,33.0,,,,,,,,,,,,,,,,,,
dac8275a-edc6-4d82-adc3-f0e398537308,26.0,,,,,,,,,,,,,,,,,,
