Ranch_External_GUID,CommodityId
31e52c98-b512-445f-acd8-ae240da113e0,17
31e52c98-b512-445f-acd8-ae240da113e0,18
31e52c98-b512-445f-acd8-ae240da113e0,36
31e52c98-b512-445f-acd8-ae240da113e0,31
31e52c98-b512-445f-acd8-ae240da113e0,21
31e52c98-b512-445f-acd8-ae240da113e0,2
31e52c98-b512-445f-acd8-ae240da113e0,19
31e52c98-b512-445f-acd8-ae240da113e0,7
31e52c98-b512-445f-acd8-ae240da113e0,12
31e52c98-b512-445f-acd8-ae240da113e0,38
31e52c98-b512-445f-acd8-ae240da113e0,5
31e52c98-b512-445f-acd8-ae240da113e0,4
31e52c98-b512-445f-acd8-ae240da113e0,37
31e52c98-b512-445f-acd8-ae240da113e0,20
31e52c98-b512-445f-acd8-ae240da113e0,8
31e52c98-b512-445f-acd8-ae240da113e0,27
31e52c98-b512-445f-acd8-ae240da113e0,28
31e52c98-b512-445f-acd8-ae240da113e0,25
31e52c98-b512-445f-acd8-ae240da113e0,40
31e52c98-b512-445f-acd8-ae240da113e0,39
31e52c98-b512-445f-acd8-ae240da113e0,1
31e52c98-b512-445f-acd8-ae240da113e0,22
31e52c98-b512-445f-acd8-ae240da113e0,9
31e52c98-b512-445f-acd8-ae240da113e0,24
31e52c98-b512-445f-acd8-ae240da113e0,35
31e52c98-b512-445f-acd8-ae240da113e0,10
31e52c98-b512-445f-acd8-ae240da113e0,32
31e52c98-b512-445f-acd8-ae240da113e0,34
31e52c98-b512-445f-acd8-ae240da113e0,3
31e52c98-b512-445f-acd8-ae240da113e0,23
31e52c98-b512-445f-acd8-ae240da113e0,6
31e52c98-b512-445f-acd8-ae240da113e0,11
31e52c98-b512-445f-acd8-ae240da113e0,33
31e52c98-b512-445f-acd8-ae240da113e0,26
