Id,Name
14,Chualar silty loam
15,Chualar sandy loam
16,Chualar loam
17,Chualar clay loam
18,Salinas loam
20,Molera Test
24,Mocho silt loam
25,Pico fine sandy loam
26,Metz complex
27,Elder sandy loam
28,Salinas clay loam
29,Mocho silty clay loam
30,Clear Lake clay
31,Pacheco clay loam
32,Placentia sandy loam
33,Danville sandy clay loam
34,Placentia sandy loam 2 to 9% slope
35,Cropley silty clay
36,Xerorthents loamy
37,Xerothents sand
38,Gregonio sandy loam
39,Psamments
40,"Chualar loam, 2 to 5 percent slopes"
41,Arroyo Seco gravelly loam
42,Danville sandy clay loam 2-9% slope
43,Pacheco silt loam
44,Pacheco fine sandy loam
45,Antioch very fine sandy loam
46,Metz Loamy Sand
47,Metz Fine Sandy Loam
57,"Boggs sandy loam, partially drained"
58,"Antioch very fine sandy loam, 0 to 2 percent slopes"
61,"Mocho silt loam, 0 to 2 percent slopes"
65,"Danville sandy clay loam, 0 to 2 percent slopes"
70,"Arroyo Seco gravelly loam, 0 to 2 percent slopes"
71,"Elder sandy loam, 0 to 2 percent slopes"
72,"Salinas clay loam, 0 to 2 percent slopes"
73,Arnold loamy sand 9 to 15 percent slopes
82,"Arroyo Seco gravelly sandy loam, 5 to 9 percent slopes"
84,"Elkhorn fine sandy loam, thin surface variant, 15 to 30 percent slopes"
86,"Sorrento silt loam, 0 to 2 percent slopes"
88,"Sorrento silty clay loam, 0 to 2 percent slopes"
93,"Yolo silty clay loam, 2 to 9 percent slopes"
103,"Cropley silty clay, 0 to 2 percent slopes"
109,"Mocho silty clay loam, 0 to 2 percent slopes"
113,"Arburua-Contra Costa-Wisflat complex, 30 to 50 percent slopes"
115,"Placentia sandy loam, 0 to 2 percent slopes"
121,Capay silty clay
129,"Arroyo Seco gravelly loam, 2 to 5 percent slopes"
131,"Arroyo Seco gravelly sandy loam, 2 to 5 percent slopes"
134,Camarillo loam
137,"Arroyo Seco gravelly sandy loam, 0 to 2 percent slopes"
139,"Placentia sandy loam, 2 to 9 percent slopes"
155,"Chualar loam, 0 to 2 percent slopes"
160,"Arnold loamy sand, 15 to 50 percent slopes"
167,"Conejo clay loam, 0 to 2 percent slopes"
168,"Baywood loamy sand, 15 to 30 percent slopes"
169,"Arbuckle gravelly loam, 0 to 2 percent slopes"
171,"Elkhorn sandy loam, 9 to 15 percent slopes"
176,Indio silt loam
188,"Rincon clay loam, 0 to 2 percent slope"
190,"Brentwood clay loam, 0 to 2 percent slopes"
197,"Mocho silty clay loam, 0 to 2 percent slopes, MLRA 14"
198,"Salinas clay loam, 0 to 2 percent slopes, MLRA 14"
218,"Clear Lake clay, hardpan substratum, drained, 0 to 1 percent slopes"
230,"Mocho silt loam, 0 to 2 percent slopes, MLRA 14"
273,"Placentia sandy loam, 2 to 9 percent slopes, MLRA 14"
5532,"Oceano loamy sand, 2 to 15 percent slopes"
5682,"Clear Lake clay, sandy substratum, drained, 0 to 1 percent slopes, MLRA 14"
5880,"Placentia sandy loam, 0 to 2 percent slopes, MLRA 14"
6534,"Clear Lake clay, 0 to 1 percent slopes, frequently flooded, MLRA 14"
7992,"Rincon clay loam, 0 to 2 percent slopes, MLRA 14"
8221,"Lockwood loam, 2 to 9 percent slopes"
20543,"Danville sandy clay loam, 0 to 2 percent slopes"
20546,"Salinas clay loam, 0 to 2 percent slopes, MLRA 14"
20578,"Mocho silt loam, 0 to 2 percent slopes, MLRA 14"
20579,"Mocho silt loam, 0 to 2 percent slopes, MLRA 14"
20580,"Mocho silt loam, 0 to 2 percent slopes, MLRA 14"
20581,"Mocho silt loam, 0 to 2 percent slopes, MLRA 14"
20582,"Mocho silt loam, 0 to 2 percent slopes, MLRA 14"
20583,"Mocho silt loam, 0 to 2 percent slopes, MLRA 14"
20584,"Mocho silt loam, 0 to 2 percent slopes, MLRA 14"
20585,"Mocho silt loam, 0 to 2 percent slopes, MLRA 14"
21179,Salinas clay loam
21180,Salinas clay loam
21181,Salinas clay loam
21182,Salinas clay loam
21183,Salinas clay loam
21184,Mocho silty clay loam
21185,Mocho silty clay loam
21187,Mocho silty clay loam
21188,Mocho silty clay loam
21189,Mocho silty clay loam
21190,Mocho silty clay loam
21195,"Antioch very fine sandy loam, 0 to 2 percent slopes"
21200,Salinas clay loam
21202,Salinas clay loam
21203,Salinas clay loam
21208,Mocho silty clay loam
21209,Mocho silty clay loam
21211,Mocho silt loam
21213,Mocho silt loam
21216,"Mocho silty clay loam, 0 to 2 percent slopes, MLRA 14"
21217,"Mocho silty clay loam, 0 to 2 percent slopes, MLRA 14"
21219,Mocho silt loam
21221,Mocho silty clay loam
21223,Mocho silt loam
21225,Mocho silt loam
21234,Mocho silty clay loam
21258,Salinas clay loam
21259,Salinas clay loam
21265,"Salinas clay loam, 0 to 2 percent slopes, MLRA 14"
21267,"Salinas clay loam, 0 to 2 percent slopes, MLRA 14"
21474,"Mocho silt loam, 0 to 2 percent slopes, MLRA 14"
21475,"Mocho silt loam, 0 to 2 percent slopes, MLRA 14"
21476,"Mocho silt loam, 0 to 2 percent slopes, MLRA 14"
21480,Salinas clay loam
21481,Salinas clay loam
21482,Salinas clay loam
21483,Salinas clay loam
21484,"Salinas clay loam, 0 to 2 percent slopes, MLRA 14"
21485,"Salinas clay loam, 0 to 2 percent slopes, MLRA 14"
21486,Salinas clay loam
21495,Salinas clay loam
21496,Salinas clay loam
21507,Salinas clay loam
21508,Salinas clay loam
21509,Salinas clay loam
21521,Salinas clay loam
21522,Salinas clay loam
21532,Salinas clay loam
21533,Salinas clay loam
21552,"Salinas clay loam, 0 to 2 percent slopes, MLRA 14"
21553,"Salinas clay loam, 0 to 2 percent slopes, MLRA 14"
21557,"Chualar loam, 0 to 2 percent slopes"
21558,"Chualar loam, 0 to 2 percent slopes"
21559,"Chualar loam, 0 to 2 percent slopes"
21560,"Chualar loam, 0 to 2 percent slopes"
21561,"Chualar loam, 0 to 2 percent slopes"
21564,"Lockwood loam, 2 to 9 percent slopes"
21574,"Mocho silt loam, 0 to 2 percent slopes, MLRA 14"
21579,"Salinas clay loam, 0 to 2 percent slopes, MLRA 14"
21580,"Salinas clay loam, 0 to 2 percent slopes, MLRA 14"
21581,"Salinas clay loam, 0 to 2 percent slopes, MLRA 14"
21585,"Salinas clay loam, 0 to 2 percent slopes, MLRA 14"
