Id,Name,External_Id,API_Id,NearestCity,County,Coordinates,Lat,Lng,Distance,UcIpmName,WeatherAPI_Id,Active,AllowToDeactivate,AllowToDelete,RegionId,RegionName,MissingRecords
203,Aguila,507,,Wickenburg,Maricopa,"33.946192,-113.186508",33.946192,-113.186508,0.0,,5,True,False,False,22,Arizona,0
184,ALOUN HELEMANO HOBO,412,21356106,Wahiawa,O'ahu,"21.297,-157.817",21.297,-157.817,0.0,,6,True,False,False,19,Hawaii -- O'ahu,0
128,Alpaugh,203,,Alpaugh,Tulare,"35.86,-119.5",35.86,-119.5,0.0,Alpaugh.A,1,False,False,False,13,South San Joaquin Valley,180
40,Alturas,090,,Alturas,Modoc,"41.43,-120.48",41.43,-120.48,0.0,ALTURAS.A,1,True,False,False,0,,0
141,Arleta,216,,Arleta,Los Angeles,"34.26,-118.38",34.26,-118.38,0.0,Arleta.A,1,True,True,False,14,South Inland,0
53,Arroyo Seco,114,,Soledad,Monterey,"36.36,-121.29",36.36,-121.29,0.0,ARYOSECO.A,1,True,False,False,4,Central Coast,0
61,Arvin-Edison,125,,Arvin,Kern,"35.21,-118.78",35.21,-118.78,0.0,ARVIN.A,1,True,False,False,0,,0
95,Atascadero,163,,Atascadero,San Luis Obispo,"35.47,-120.65",35.47,-120.65,0.0,ATASCADERO.A,1,True,False,False,4,Central Coast,0
120,Auburn,195,,Auburn,Placer,"38.89,-121.1",38.89,-121.1,0.0,AUBURN.A,1,True,False,False,11,Sierra Foothills,0
68,Barstow NE,134,,Barstow,San Bernardino,"34.88,-116.98",34.88,-116.98,0.0,BARSTOW_NE.A,1,False,True,False,0,,180
80,Belridge,146,,Lost Hills,Kern,"35.5,-119.69",35.5,-119.69,0.0,LOST_HILLS.A,1,True,False,False,13,South San Joaquin Valley,0
91,Bennett Valley,158,,Santa Rosa,Sonoma,"38.42,-122.66",38.42,-122.66,0.0,BENNETT_VALLEY.A,1,True,False,False,0,,0
124,Big Bear Lake,199,,Big Bear Lake,San Bernardino,"34.24,-116.87",34.24,-116.87,0.0,BIG_BEAR_LAKE.A,1,True,False,False,14,South Inland,0
191,Biggs,244,,Biggs,Butte,"39.386632,-121.835278",39.386632,-121.835278,0.0,,1,True,False,False,6,North Sacramento Valley,0
13,Bishop,035,,Bishop,Inyo,"37.36,-118.4",37.36,-118.4,0.0,BISHOP.A,1,True,False,False,21,Sierra,0
112,Black Point,187,,Novato,Marin,"38.09,-122.53",38.09,-122.53,0.0,BLACK_POINT.A,1,True,True,False,0,,0
20,Blackwells Corner,054,,Blackwells Corne,Kern,"35.65,-119.96",35.65,-119.96,0.0,BLACKWLL.A,1,True,False,False,13,South San Joaquin Valley,180
69,Blythe NE,135,,Blythe,Riverside,"33.56,-114.67",33.56,-114.67,0.0,BLYTHE_NE.A,1,True,False,False,12,Desert Region,0
204,Bonita,509,,Willcox,Graham,"32.477478,-109.932733",32.477478,-109.932733,0.0,,5,True,False,False,22,Arizona,0
132,Borrego Springs,207,,Borrego Springs,San Diego,"33.27,-116.37",33.27,-116.37,0.0,BORREGO_SPRINGS.A,1,True,True,False,12,Desert Region,0
205,Bowie,533,,Bowie,Cochise,"32.289091,-109.472073",32.289091,-109.472073,0.0,,5,True,True,False,22,Arizona,0
18,Brentwood,047,,Brentwood,Contra Costa,"37.93,-121.66",37.93,-121.66,0.0,BRNTWOOD.A,1,True,False,False,8,Delta,0
34,Browns Valley,084,,Marysville,Yuba,"39.27,-121.31",39.27,-121.31,0.0,BRWNSVLY.A,1,True,False,False,0,,0
88,Bryte,155,,West Sacramento,Yolo,"38.6,-121.54",38.6,-121.54,0.0,BRYTE.A,1,True,False,False,0,,180
206,Buckeye,526,,Palo Verde,Maricopa,"33.409193,-112.677836",33.409193,-112.677836,0.0,,5,True,False,False,22,Arizona,0
22,Buntingville,057,,Susanville,Lassen,"40.29,-120.43",40.29,-120.43,0.0,BUNTNGVL.A,1,True,False,False,0,,180
145,Cadiz Valley,221,,Chambless,San Bernardino,"34.51,-115.51",34.51,-115.51,0.0,Cadiz_Valley.A,1,True,False,False,12,Desert Region,0
15,Calipatria/Mulberry,041,,Calipatria,Imperial,"33.04,-115.42",33.04,-115.42,0.0,BRAWLEY.A,1,True,False,False,12,Desert Region,0
86,Camarillo,152,,Camarillo,Ventura,"34.23,-118.99",34.23,-118.99,0.0,CAMARILLO.A,1,True,False,False,3,South Coast,0
